analysis,t_read_h,ext_cv,mean_S0,mean_S1,mean_S2,overlap_S1_S2,accuracy_3state,thr1,thr2
readout_sweep_combined,0.5,0.3,0.031,0.076,0.11,0.194,0.9184,0.05,0.09
readout_sweep_combined,0.75,0.3,0.059,0.125,0.177,0.14,0.9344,0.087,0.153
readout_sweep_combined,1.0,0.3,0.089,0.169,0.241,0.105,0.9378,0.129,0.208
readout_sweep_combined,1.25,0.3,0.121,0.209,0.301,0.057,0.9411,0.165,0.262
readout_sweep_combined,1.5,0.3,0.154,0.245,0.357,0.045,0.9316,0.2,0.308
readout_sweep_combined,2.0,0.3,0.217,0.31,0.458,0.021,0.9091,0.268,0.392
readout_sweep_combined,2.5,0.3,0.278,0.367,0.543,0.012,0.8762,0.325,0.481
readout_sweep_combined,3.0,0.3,0.334,0.418,0.615,0.009,0.8596,0.376,0.551
noise_sweep_combined_1.25h,1.25,0.1,,,,,0.9967,,
noise_sweep_combined_1.25h,1.25,0.2,,,,,0.9842,,
noise_sweep_combined_1.25h,1.25,0.3,,,,,0.9328,,
noise_sweep_combined_1.25h,1.25,0.5,,,,,0.805,,
noise_sweep_combined_1.25h,1.25,0.75,,,,,0.685,,
noise_sweep_combined_1.25h,1.25,1.0,,,,,0.6089,,
design_compare_1.25h_cv0.3_untagged,1.25,0.3,0.32,0.364,0.379,0.488,0.7883,,
design_compare_1.25h_cv0.3_combined_1int,1.25,0.3,,,,,0.9411,,
design_compare_1.25h_cv0.3_combined_2int,1.25,0.3,,,,,0.9778,,
